Model,Image,Size,Refresh Rate,Resolution,Display Type,Surface,Ratio,PPI,Nits,CPU,GPU,Weight,Height,Price (RRP)
Acer Nitro 17 AN17-41,,"17.30""",165 Hz,2560x1440,IPS,matte,16:9,170 PPI,,R7 7840HS,NVIDIA GeForce RTX 4070 Laptop GPU,3 kg,28.9 mm,1900 Euro
Acer Nitro 17 AN17-41-R182,,"17.30""",165 Hz,2560x1440,IPS,matte,16:9,170 PPI,,R7 7840HS,NVIDIA GeForce RTX 4060 Laptop GPU,3 kg,28.9 mm,1780 Euro
Acer Nitro 17 AN17-41-R3S4,,"17.30""",165 Hz,2560x1440,IPS,matte,16:9,170 PPI,,R9 7940HS,NVIDIA GeForce RTX 4070 Laptop GPU,3.1 kg,34 mm,
Acer Nitro 17 AN17-41-R6L9,,"17.30""",165 Hz,1920x1080,IPS,matte,16:9,127 PPI,,R7 7840HS,NVIDIA GeForce RTX 4050 Laptop GPU,3 kg,28.9 mm,1600 Euro
Acer Nitro 17 AN17-41-R9LN,,"17.30""",165 Hz,2560x1440,IPS,matte,16:9,170 PPI,337 cd/m²,R7 7735HS,NVIDIA GeForce RTX 4070 Laptop GPU,3 kg,29 mm,1800 EUR
Acer Nitro 17 AN17-42,,"17.30""",165 Hz,2560x1440,IPS,matte,16:9,170 PPI,,R7 8845HS,NVIDIA GeForce RTX 4060 Laptop GPU,3.1 kg,28.9 mm,
Acer Nitro 17 AN17-51,,"17.30""",165 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i5-13500H,NVIDIA GeForce RTX 4050 Laptop GPU,3 kg,28.9 mm,
Acer Nitro 17 AN17-51-71ER,,"17.30""",165 Hz,2560x1440,,matte,16:9,170 PPI,326 cd/m²,i7-13700H,NVIDIA GeForce RTX 4060 Laptop GPU,3 kg,30.3 mm,1900 Euro
Acer Nitro 17 AN17-51-71ER,,"17.30""",165 Hz,2560x1440,,,16:9,170 PPI,,i7-13700H,NVIDIA GeForce RTX 4060 Laptop GPU,,,
Acer Nitro 17 AN17-51-71ER,,"17.30""",165 Hz,2560x1440,,,16:9,170 PPI,,i7-13700H,NVIDIA GeForce RTX 4060 Laptop GPU,,,
Acer Nitro 17 AN17-71,,"17.30""",165 Hz,2560x1440,,matte,16:9,170 PPI,,i7-13700HX,NVIDIA GeForce RTX 4060 Laptop GPU,3.3 kg,28.9 mm,
Acer Nitro 17 AN17-72,,"17.30""",165 Hz,2560x1440,,,16:9,170 PPI,,i7-14700HX,NVIDIA GeForce RTX 4060 Laptop GPU,3.2 kg,28.9 mm,
