Model,Image,Size,Refresh Rate,Resolution,Display Type,Surface,Ratio,PPI,Nits,CPU,GPU,Weight,Height,Price (RRP)
Asus ROG Zephyrus S17 GX703HSD,,"17.30""",165 Hz,2560x1440,IPS,matte,16:9,170 PPI,288 cd/m²,i9-11900H,GeForce RTX 3080 Laptop GPU,2.8 kg,19.9 mm,
Asus Strix G15 G512LV-AZ126T,,"15.60""",240 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2060 Mobile,2.4 kg,25.8 mm,1900 Euro
Asus Strix G15 G512LW-HN038,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2070 Mobile,2.4 kg,25.8 mm,1700 Euro
Asus Strix G15 G512LWS-AZ029T,,"15.00""",240 Hz,1920x1080,IPS,,16:9,147 PPI,,i7-10875H,GeForce RTX 2070 Super Mobile,2.4 kg,25.8 mm,2700 Euro
Asus Strix G17 G712LU-H7092T,,"17.30""",120 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-10750H,GeForce GTX 1660 Ti Mobile,2.9 kg,26.5 mm,1500 Euro
Asus Strix G17 G712LV-EV047T,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-10750H,GeForce RTX 2060 Mobile,2.9 kg,26 mm,1600 Euro
Asus Strix G17 G712LV-H7007,,"17.30""",120 Hz,1920x1080,,matte,16:9,127 PPI,,i7-10750H,GeForce RTX 2060 Mobile,2.9 kg,26.5 mm,
Asus Strix G17 G712LV-RS74,,"17.30""",144 Hz,1920x1080,,,16:9,127 PPI,,i7-10750H,GeForce RTX 2060 Mobile,,,
Asus Strix G17 G712LW-EV251T,,"17.30""",144 Hz,1920x1080,IPS,,16:9,127 PPI,,i7-10750H,GeForce RTX 2070 Mobile,2.9 kg,26.5 mm,1700 Euro
Asus Strix G17 G712LWS,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,300 cd/m²,i7-10750H,GeForce RTX 2070 Super Mobile,2.8 kg,26.5 mm,1999 Euro
Asus Strix G17 G712LWS,,"17.30""",144 Hz,1920x1080,,matte,16:9,127 PPI,,i7-10750H,GeForce RTX 2070 Super Mobile,,,
Asus Strix G17 G712LWS-EV003T,,"17.30""",144 Hz,1920x1080,,matte,16:9,127 PPI,,i7-10750H,GeForce RTX 2070 Super Mobile,2.9 kg,26.5 mm,
Asus Strix G17 G713IE-HX014T,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,R7 4800H,GeForce RTX 3050 Ti Laptop GPU,2.4 kg,24.6 mm,
Asus Strix G17 G713QC-HX011T,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,R5 5600H,GeForce RTX 3050 4GB Laptop GPU,2.4 kg,24.6 mm,
Asus Strix G17 G713QM,,"17.30""",300 Hz,1920x1080,IPS,matte,16:9,127 PPI,,R9 5900HX,GeForce RTX 3060 Laptop GPU,2.7 kg,27.5 mm,
Asus Strix G17 G713QR,,"17.30""",300 Hz,1920x1080,IPS,matte,16:9,127 PPI,,R9 5900HX,GeForce RTX 3070 Laptop GPU,2.7 kg,27.5 mm,2400 Euro
Asus Strix G712LV-H7077,,"17.30""",120 Hz,1920x1080,,matte,16:9,127 PPI,,i7-10750H,GeForce RTX 2060 Mobile,2.9 kg,26.5 mm,
Asus Strix Scar 15 G532LW-AZ056T,,"15.60""",240 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10875H,GeForce RTX 2070 Mobile,2.6 kg,24.9 mm,2200 Euro
Asus Strix Scar 15 G532LWS-HF162T,,"15.60""",300 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10875H,GeForce RTX 2070 Super Mobile,2.6 kg,24.9 mm,2600 Euro
Asus Strix Scar 15 G533QM,,"15.60""",300 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R9 5900HX,GeForce RTX 3060 Laptop GPU,2.3 kg,27.2 mm,
Asus Strix Scar 15 G533QR,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,R9 5900HX,GeForce RTX 3070 Laptop GPU,2.3 kg,27.2 mm,
Asus Strix Scar 15 G533QS-DS76,,"15.60""",300 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 5800H,GeForce RTX 3080 Laptop GPU,2.3 kg,27.2 mm,2000 Euro
Asus Strix Scar 17 G732LW-EV050T,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-10875H,GeForce RTX 2070 Mobile,2.9 kg,26.2 mm,
Asus Strix Scar 17 G732LXS,,"17.30""",300 Hz,1920x1080,IPS,matte,16:9,127 PPI,311 cd/m²,i9-10980HK,GeForce RTX 2080 Super Mobile,2.9 kg,26.5 mm,3400 EUR
Asus Strix Scar 17 G732LXS-HG104T,,"17.30""",300 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i9-10980HK,GeForce RTX 2080 Super Mobile,2.9 kg,26.2 mm,4300 Euro
Asus Strix Scar 17 G732LXS-HG109T,,"17.30""",300 Hz,1920x1080,,matte,16:9,127 PPI,,i7-10875H,GeForce RTX 2080 Super Mobile,2.9 kg,26.2 mm,2800 Euro
Asus Strix Scar 17 G732LXS-XS99,,"17.30""",300 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i9-10980HK,GeForce RTX 2080 Super Max-Q,2.9 kg,26.5 mm,
Asus Strix Scar 17 G733QR,,"17.30""",300 Hz,1920x1080,IPS,matte,16:9,127 PPI,,R9 5900HX,GeForce RTX 3070 Laptop GPU,2.7 kg,26.2 mm,2500 Euro
Asus Strix Scar 17 G733QS,,"17.30""",300 Hz,1920x1080,IPS,matte,16:9,127 PPI,,R9 5900HX,GeForce RTX 3080 Laptop GPU,2.7 kg,26.2 mm,3100 Euro
Asus Strix Scar 17 G733QS-HG168T,,"17.30""",300 Hz,1920x1080,,matte,16:9,127 PPI,,R9 5900HX,GeForce RTX 3080 Laptop GPU,2.7 kg,31 mm,
Asus Strix Scar 17 G733QSA-XS99,,"17.30""",360 Hz,1920x1080,IPS,,16:9,127 PPI,292 cd/m²,R9 5900HX,GeForce RTX 3080 Laptop GPU,2.8 kg,28.3 mm,3000 USD
Asus TUF A15 FA507,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,271 cd/m²,R7 7735HS,NVIDIA GeForce RTX 4050 Laptop GPU,2.2 kg,24.9 mm,1199 Euro
Asus TUF A15 FA566IU-HN244T,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 4800H,GeForce GTX 1660 Ti Mobile,2.3 kg,25 mm,
Asus TUF A17 FA706II-AU741,,"17.30""",120 Hz,1920x1080,,matte,16:9,127 PPI,,R7 4800H,GeForce GTX 1650 Ti Mobile,2.6 kg,23.4 mm,
Asus TUF A17 FA706IU-AS76,,"17.30""",120 Hz,1920x1080,IPS,matte,16:9,127 PPI,253 cd/m²,R7 4800H,GeForce GTX 1660 Ti Mobile,2.6 kg,26 mm,1100 USD
"Asus TUF Dash 15 FX517ZM, i5-12450H",,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-12450H,GeForce RTX 3060 Laptop GPU,2 kg,21 mm,
Asus TUF Dash 15 FX517ZM-AS73,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12650H,GeForce RTX 3060 Laptop GPU,2 kg,20.8 mm,1400 Euro
Asus TUF Dash F15 FX516PE-HN006T,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-11370H,GeForce RTX 3050 Ti Laptop GPU,2 kg,19.9 mm,1000 Euro
Asus TUF Dash F15 FX516PM,,"15.60""",240 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-11370H,GeForce RTX 3060 Laptop GPU,2 kg,19.9 mm,2200 Euro
Asus TUF Dash F15 FX516PM-HN023,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i7-11370H,GeForce RTX 3060 Laptop GPU,2 kg,19.9 mm,
Asus TUF Dash F15 FX516PM-HN135,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-11370H,GeForce RTX 3060 Laptop GPU,2 kg,19.9 mm,1000 Euro
Asus TUF Dash F15 FX516PR,,"15.60""",240 Hz,1920x1080,IPS,matte,16:9,141 PPI,275 cd/m²,i7-11370H,GeForce RTX 3070 Laptop GPU,2 kg,20 mm,1999 EUR
Asus TUF Dash F15 FX516PR-AZ019T,,"15.60""",300 Hz,1920x1080,,matte,16:9,141 PPI,,i7-11370H,GeForce RTX 3070 Laptop GPU,2 kg,19.9 mm,
Asus TUF Dash F15 FX517ZC,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,330 cd/m²,i7-12650H,GeForce RTX 3050 4GB Laptop GPU,1.9 kg,20.7 mm,950 USD
"Asus TUF Dash F15 FX517ZC, i5-12450H",,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,i5-12450H,GeForce RTX 3050 4GB Laptop GPU,2 kg,20.8 mm,
Asus TUF Dash F15 FX517ZE,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12650H,GeForce RTX 3050 Ti Laptop GPU,2 kg,20.8 mm,
Asus TUF Dash F15 FX517ZE-HN044W,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-12450H,GeForce RTX 3050 Ti Laptop GPU,2 kg,20.8 mm,
Asus TUF Dash F15 FX517ZR,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,266 cd/m²,i7-12650H,GeForce RTX 3070 Laptop GPU,2 kg,20.7 mm,1699 Euro
Asus TUF Dash F15 FX517ZR,,"15.60""",165 Hz,2560x1440,,matte,16:9,188 PPI,,i7-12650H,GeForce RTX 3070 Laptop GPU,,,
Asus TUF Dash F15 FX517ZR,,"15.60""",165 Hz,2560x1440,,matte,16:9,,,i7-12650H,GeForce RTX 3070 Ti Laptop GPU,,,
Asus TUF Dash F15 FX517ZR,,"15.60""",165 Hz,2560x1440,,matte,16:9,188 PPI,,i7-12650H,GeForce RTX 3070 Laptop GPU,,,
Asus TUF Dash F15 FX517ZR,,"15.60""",165 Hz,2560x1440,,matte,16:9,188 PPI,,i7-12650H,UHD Graphics 64EUs,,,
Asus TUF Dash F15 FX517ZR,,"15.60""",165 Hz,2560x1440,,matte,16:9,188 PPI,,i7-12650H,GeForce RTX 3070 Laptop GPU,,,
Asus TUF Dash F15 FX517ZR FHD,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12650H,GeForce RTX 3070 Laptop GPU,2 kg,20.7 mm,
Asus TUF Dash F15 TUF516PE-AB73,,"15.60""",144 Hz,1920x1080,,,16:9,141 PPI,,i7-11370H,GeForce RTX 3050 Ti Laptop GPU,2 kg,19.9 mm,
Asus TUF FX505DT-HN540,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 3750H,GeForce GTX 1650 Mobile,2.2 kg,26.8 mm,900 Euro
Asus TUF FX505DV-AL116,,"15.60""",120 Hz,1920x1080,,,16:9,141 PPI,,R7 3750H,GeForce RTX 2060 Mobile,2.2 kg,25 mm,
Asus TUF Gaming A14 FA401WV-WB94,,"14.00""",165 Hz,2560x1600,IPS,matte,16:10,216 PPI,436 cd/m²,Ryzen AI 9 HX 370,NVIDIA GeForce RTX 4060 Laptop GPU,1.5 kg,19.9 mm,1500 USD
Asus TUF Gaming A15 566IV-AL155T,,"15.60""",144 Hz,1920x1080,,,16:9,141 PPI,,R7 4800H,GeForce RTX 2060 Mobile,2.1 kg,30 mm,
Asus TUF Gaming A15 FA506ICB-HN119W,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R5 4600H,GeForce RTX 3050 4GB Laptop GPU,2.3 kg,24.5 mm,700 Euro
Asus TUF Gaming A15 FA506II-HN188,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,R5 4600H,GeForce GTX 1650 Ti Mobile,2.3 kg,24.9 mm,850 Euro
Asus TUF Gaming A15 FA506IU-HN278,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,R7 4800H,GeForce GTX 1660 Ti Mobile,,,
Asus TUF Gaming A15 FA506IV-AL029T,,"15.60""",144 Hz,1920x1080,,,16:9,141 PPI,,R7 4800H,GeForce RTX 2060 Mobile,1.7 kg,26 mm,
Asus TUF Gaming A15 FA506IV-AL032T,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 4800H,GeForce RTX 2060 Mobile,2.3 kg,24.9 mm,1500 Euro
Asus TUF Gaming A15 FA506IV-AL043T,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,R7 4800H,GeForce RTX 2060 Mobile,2.3 kg,24.9 mm,
Asus TUF Gaming A15 FA506IV-AL064T,,"15.60""",120 Hz,1920x1080,,matte,16:9,141 PPI,,R7 4800H,GeForce RTX 2060 Mobile,2.3 kg,24.9 mm,
Asus TUF Gaming A15 FA506IV-AS76,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 4800H,GeForce RTX 2060 Mobile,2.3 kg,24.9 mm,1100 Euro
Asus TUF Gaming A15 FA506IV-HN172,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,254 cd/m²,R7 4800H,GeForce RTX 2060 Mobile,2.2 kg,24.9 mm,1299 EUR
Asus TUF Gaming A15 FA506IV-HN337,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,R7 4800H,GeForce RTX 2060 Mobile,2.3 kg,22.8 mm,
Asus TUF Gaming A15 FA506NC,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R5 7535HS,GeForce RTX 3050 4GB Laptop GPU,2.3 kg,24.5 mm,
Asus TUF Gaming A15 FA506QM,,"15.60""",144 Hz,1920x1080,,,16:9,,,R7 5800H,GeForce RTX 3060 Laptop GPU,2.3 kg,24.5 mm,
Asus TUF Gaming A15 FA506QM-HN005,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 5800H,GeForce RTX 3060 Laptop GPU,2.3 kg,24.9 mm,1300 Euro
Asus TUF Gaming A15 FA506QM-HN016,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 5800H,GeForce RTX 3060 Laptop GPU,2.3 kg,24.5 mm,1210 Euro
Asus TUF Gaming A15 FA506QR,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 5800H,GeForce RTX 3070 Laptop GPU,2.3 kg,24.5 mm,1550 Euro
Asus TUF Gaming A15 FA506QR-AZ061T,,"15.60""",240 Hz,1920x1080,IPS,matte,16:9,141 PPI,268 cd/m²,R7 5800H,GeForce RTX 3070 Laptop GPU,2.3 kg,24 mm,1700 Euro
Asus TUF Gaming A15 FA506UI,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 4800H,GeForce GTX 1660 Ti Mobile,2.3 kg,24.9 mm,
Asus TUF Gaming A15 FA507NU,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 7735HS,NVIDIA GeForce RTX 4050 Laptop GPU,2.2 kg,24.9 mm,
Asus TUF Gaming A15 FA507NV,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 7735HS,NVIDIA GeForce RTX 4060 Laptop GPU,2.2 kg,24.9 mm,1500 Euro
Asus TUF Gaming A15 FA507RM-ES73,,"15.60""",300 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 6800H,GeForce RTX 3060 Laptop GPU,2.2 kg,22.4 mm,
Asus TUF Gaming A15 FA507RM-HN003,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 6800H,GeForce RTX 3060 Laptop GPU,2.2 kg,24.9 mm,
Asus TUF Gaming A15 FA507RM-HQ028W,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,R7 6800H,GeForce RTX 3060 Laptop GPU,2.2 kg,22.4 mm,1700 Euro
Asus TUF Gaming A15 FA507RR-HN003,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 6800H,GeForce RTX 3070 Laptop GPU,2.2 kg,24.9 mm,1300 Euro
Asus TUF Gaming A15 FA507RR-HQ007W,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,R7 6800H,GeForce RTX 3070 Laptop GPU,2.2 kg,22.4 mm,1900 Euro
Asus TUF Gaming A15 FA507RR-HQ008,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 6800H,GeForce RTX 3070 Laptop GPU,2.2 kg,22.4 mm,1400 Euro
Asus TUF Gaming A15 FA507UI,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R9 8945HS,NVIDIA GeForce RTX 4060 Laptop GPU,2.2 kg,22.4 mm,
Asus TUF Gaming A15 FA507UV,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,303 cd/m²,R9 8945H,NVIDIA GeForce RTX 4060 Laptop GPU,2.1 kg,22.4 mm,1199 Euro
Asus TUF Gaming A15 FA507UV,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,R9 8945H,NVIDIA GeForce RTX 4060 Laptop GPU,,,
Asus TUF Gaming A15 FA507UV,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,R9 8945H,NVIDIA GeForce RTX 4060 Laptop GPU,,,
Asus TUF Gaming A15 FA507XI,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R9 7940HS,NVIDIA GeForce RTX 4070 Laptop GPU,2.2 kg,24.9 mm,1750 Euro
Asus TUF Gaming A15 FA507XV,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,R9 7940HS,NVIDIA GeForce RTX 4060 Laptop GPU,2.2 kg,24.9 mm,1950 Euro
Asus TUF Gaming A16 FA607J,,"16.00""",165 Hz,1920x1200,IPS,matte,16:10,142 PPI,,i7-13650HX,NVIDIA GeForce RTX 4050 Laptop GPU,2.3 kg,28.2 mm,
Asus TUF Gaming A16 FA607PI,,"16.00""",165 Hz,2560x1600,IPS,matte,16:10,189 PPI,,R9 7845HX,NVIDIA GeForce RTX 4070 Laptop GPU,2.3 kg,26.2 mm,1900 Euro
Asus TUF Gaming A16 FA607PV,,"16.00""",165 Hz,2560x1600,IPS,matte,16:10,189 PPI,,R9 7845HX,NVIDIA GeForce RTX 4060 Laptop GPU,2.3 kg,28.2 mm,
Asus TUF Gaming A16 FA617,,"16.00""",165 Hz,1920x1200,IPS-Level,matte,16:10,142 PPI,293 cd/m²,R7 7735HS,Radeon RX 7600S,2.2 kg,27 mm,
Asus TUF Gaming A16 FA617XS,,"16.00""",165 Hz,1920x1200,IPS,matte,16:10,142 PPI,294 cd/m²,R9 7940HS,Radeon RX 7600S,2.2 kg,22.1 mm,1699 Euro
Asus TUF Gaming A17 FA706QM,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,R7 5800H,GeForce RTX 3060 Laptop GPU,2.6 kg,24 mm,
Asus TUF Gaming A17 FA706QM-HX001,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,R7 5800H,GeForce RTX 3060 Laptop GPU,2.6 kg,24 mm,1150 Euro
Asus TUF Gaming A17 FA706QR,,"17.30""",144 Hz,1920x1080,,,16:9,,,R7 5800H,GeForce RTX 3070 Laptop GPU,2.6 kg,22.1 mm,1699 Euro
"Asus TUF Gaming A17 FA707NU, R5 7535HS",,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,R5 7535HS,NVIDIA GeForce RTX 4050 Laptop GPU,2.6 kg,25.4 mm,
Asus TUF Gaming A17 FA707NU-HX032W,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,R7 7735HS,NVIDIA GeForce RTX 4050 Laptop GPU,2.6 kg,25.4 mm,1550 Euro
Asus TUF Gaming A17 FA707RE-HX030W,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,R7 6800H,GeForce RTX 3050 Ti Laptop GPU,2.6 kg,25.4 mm,
Asus TUF Gaming A17 FA707RR,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,R7 6800H,GeForce RTX 3070 Laptop GPU,2.6 kg,25.4 mm,
Asus TUF Gaming A17 FA707XI,,"17.30""",240 Hz,2560x1440,,matte,16:9,170 PPI,,R9 7940HS,NVIDIA GeForce RTX 4070 Laptop GPU,2.6 kg,25.4 mm,
Asus TUF Gaming A17 FA707XI-NS94,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,248 cd/m²,R9 7940HS,NVIDIA GeForce RTX 4070 Laptop GPU,2.5 kg,25.4 mm,1400 USD
Asus TUF Gaming Dash F15 FX516PR-HN002,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i7-11370H,GeForce RTX 3070 Laptop GPU,2 kg,19.9 mm,
Asus TUF Gaming F15 FX506HC-HN004,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3050 4GB Laptop GPU,2.3 kg,24.5 mm,650 Euro
Asus TUF Gaming F15 FX506HCB-HN243T,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3050 Ti Laptop GPU,2.3 kg,24.5 mm,1200 Euro
Asus TUF Gaming F15 FX506HCB-HN256T,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3050 4GB Laptop GPU,2.3 kg,24.5 mm,
Asus TUF Gaming F15 FX506HE-HN012,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3050 Ti Laptop GPU,2.3 kg,24.5 mm,
Asus TUF Gaming F15 FX506HF,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 2050 Mobile,2.3 kg,24.3 mm,
Asus TUF Gaming F15 FX506HM,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,257 cd/m²,i7-11800H,GeForce RTX 3060 Laptop GPU,2.3 kg,24.9 mm,
Asus TUF Gaming F15 FX506HM-HN004T,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-11800H,GeForce RTX 3060 Laptop GPU,2.3 kg,24.5 mm,1450 Euro
Asus TUF Gaming F15 FX506HM-HN014,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-11800H,GeForce RTX 3060 Laptop GPU,2.3 kg,24.5 mm,
Asus TUF Gaming F15 FX506HM-HN016,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3060 Laptop GPU,2.3 kg,24.3 mm,1100 Euro
Asus TUF Gaming F15 FX506HM-HN184,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3060 Laptop GPU,2.3 kg,24.5 mm,1350 Euro
Asus TUF Gaming F15 FX506II-R75TB6B,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,R7 4800H,GeForce GTX 1650 Ti Mobile,2.3 kg,24.9 mm,
Asus TUF Gaming F15 FX506IU-AL109T,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,R7 4800H,GeForce GTX 1660 Ti Mobile,2.3 kg,24.9 mm,
Asus TUF Gaming F15 FX506IV,,"15.60""",144 Hz,1920x1080,,,16:9,141 PPI,,R7 4800H,GeForce RTX 2060 Mobile,2.3 kg,28.5 mm,
Asus TUF Gaming F15 FX506LH-AS51,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-10300H,GeForce GTX 1650 Mobile,2.3 kg,24.9 mm,600 Euro
Asus TUF Gaming F15 FX506LH-HN042T,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-10300H,GeForce GTX 1650 Mobile,2.3 kg,24.7 mm,800 Euro
Asus TUF Gaming F15 FX506LH-HN129,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10875H,GeForce GTX 1650 Mobile,2.3 kg,24.9 mm,
Asus TUF Gaming F15 FX506LHB-HN324,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-10300H,GeForce GTX 1650 Mobile,2.3 kg,24.9 mm,
Asus TUF Gaming F15 FX506LI-HN109,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10870H,GeForce GTX 1650 Ti Mobile,2.3 kg,25 mm,
Asus TUF Gaming F15 FX506LI-HN109T,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10750H,GeForce GTX 1650 Ti Mobile,2.3 kg,24.7 mm,
Asus TUF Gaming F15 FX506LU-HN106,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10870H,GeForce GTX 1660 Ti Mobile,2.3 kg,24.9 mm,
Asus TUF Gaming F15 FX507VU,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-13700H,NVIDIA GeForce RTX 4050 Laptop GPU,2.2 kg,24.9 mm,1800 Euro
Asus TUF Gaming F15 FX507VV,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-13700H,NVIDIA GeForce RTX 4060 Laptop GPU,2.2 kg,24.9 mm,
Asus TUF Gaming F15 FX507ZC,,"15.60""",144 Hz,1920x1080,IPS,glossy,16:9,141 PPI,,i7-12700H,GeForce RTX 3050 4GB Laptop GPU,2.2 kg,24.9 mm,
"Asus TUF Gaming F15 FX507ZC, i5-12500H",,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-12500H,GeForce RTX 3050 4GB Laptop GPU,2.7 kg,24.9 mm,950 Euro
Asus TUF Gaming F15 FX507ZM,,"15.60""",300 Hz,1920x1080,IPS,matte,16:9,141 PPI,340 cd/m²,i7-12700H,GeForce RTX 3060 Laptop GPU,2.1 kg,24.95 mm,1500 USD
Asus TUF Gaming F15 FX507ZU,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12700H,NVIDIA GeForce RTX 4050 Laptop GPU,2.2 kg,24.9 mm,
Asus TUF Gaming F15 FX566HM-HN097TS,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i9-11900H,GeForce RTX 3060 Laptop GPU,2.3 kg,24 mm,
Asus TUF Gaming F15 TUF506HE-DS74,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-11800H,GeForce RTX 3050 Ti Laptop GPU,2.3 kg,24.4 mm,
Asus TUF Gaming F17 FX706HC-HX007W,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i5-11400H,GeForce RTX 3050 4GB Laptop GPU,2.6 kg,26 mm,
Asus TUF Gaming F17 FX706HC-HX008T,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-11800H,GeForce RTX 3050 4GB Laptop GPU,2.6 kg,26 mm,1400 Euro
Asus TUF Gaming F17 FX706HF,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i5-11400H,GeForce RTX 2050 Mobile,2.6 kg,24.8 mm,
Asus TUF Gaming F17 FX706HM,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,264 cd/m²,i9-11900H,GeForce RTX 3060 Laptop GPU,2.7 kg,26 mm,
